id,name,acceptance_rate,min_ielts,min_gpa,min_sat,application_deadline,enrollment_size,international_students_percent
czech-technical-university,"Czech Technical University",50.00,6.0,,,"March 31",11540,20.00
jaen-university,"Jaen university",50.00,,5.00,,"July 4",11464,10.00
university-of-boston,"University of Boston",14.10,7.0,,,"January 4",18343,19.00
academy-of-arts-architecture-and-design-in-prague,"Academy of Arts, Architecture and Design in Prague",12.00,6.5,3.40,1250,"Early March",450,18.00
swps-university-of-social-sciences-and-humanities,"SWPS University of Social Sciences and Humanities",60.00,6.0,2.70,,"August 31",7500,15.00
university-of-lynchburg,"University of Lynchburg",73.00,6.0,3.00,1000,Rolling,2000,3.00
mcmurry-university,"McMurry University",63.00,6.0,2.50,900,Rolling,969,3.00
american-collegiate-live,"American Collegiate Live",90.00,6.0,2.50,1050,"Fall Term",4000,30.00
agnes-scott-college,"Agnes Scott College",69.00,6.5,3.50,1250,Mid-November,980,11.00
constructor-university,"Constructor University",30.00,6.5,3.00,1200,"May 1",1600,80.00
alaska-bible-college,"Alaska Bible College",100.00,6.5,3.40,1250,"Rolling, apply by Mid-May for Fall scholarships",26,10.00
the-university-of-arizona,"The University of Arizona",87.00,6.5,3.00,1120,Rolling,36723,10.00
sejong-university,"Sejong University",13.00,5.5,3.00,1100,"November 30",12000,10.00
albertus-magnus-college,"Albertus Magnus College",87.00,6.5,3.40,1250,"Early February",550,7.00
ca-foscari-university-of-venice,"Ca' Foscari University of Venice",,,,,,,
singapore-university-of-design-and-technology,"Singapore University of Design and Technology",13.00,6.5,3.50,1350,"March 19",2500,40.00
lim-college,"LIM College",,,,,,,
northwestern-university-in-qatar,"Northwestern University in Qatar",,,,,,,
czech-university-of-life-sciences-prague,"Czech University of Life Sciences  Prague",,,,,,,
alma-college,"Alma College",72.00,6.5,3.60,1280,"December 1",1450,6.00
nottingham-trent-university,"Nottingham Trent University",,,,,,,
vilnius-gediminas-technical-university,"Vilnius Gediminas Technical University",,,,,,,
hong-kong-metropolitan-university,"Hong Kong Metropolitan University",,,,,,,
university-of-hartford,"University of Hartford",,,,,,,
amda-college-performing-arts,"AMDA College of the Performing Arts",65.00,5.5,2.50,1050,February,1489,3.00
missouri-university-of-science-and-technology,"Missouri University of Science and Technology",81.00,6.0,3.00,1190,"August 1",6300,14.00
american-college-thessaloniki,"American College of Thessaloniki",80.00,6.0,2.50,1000,August,400,60.00
berlin-technical-university,"Berlin Technical University",35.00,6.0,3.00,,"August 31",20000,28.00
hanover-college,"Hanover College",74.00,6.0,3.00,1040,Rolling,1144,3.00
lingnan-university,"Lingnan University",35.00,6.0,3.00,1100,"May 31",3500,20.00
de-montfort-university-dubai,"De Montfort University Dubai",65.00,6.0,2.50,,Rolling,800,85.00
american-collegiate-dc,"American Collegiate DC",75.00,5.5,2.50,1050,July,300,100.00
palm-beach-atlantic-university,"Palm Beach Atlantic University",65.00,6.0,3.00,1040,Rolling,3080,2.00
abu-dhabi-university,"Abu Dhabi University",75.00,6.5,3.40,1250,June,6500,45.00
kings-college-london,"King's College London",13.00,6.5,3.30,1300,"January 29",19500,45.00
